"Crotalaria breviflora","speciesLink","EFC021818","EFC","21818","Crotalaria breviflora","Plantae","Fabaceae","Crotalaria","2022","01","15","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","03","25","-23.757147","-46.510878","400","breviflora","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.510878","-23.757147","2024-12-06T20:09:02","DC.","3888","799","799","<nO>Subarbusto ca. 1 m alt.; planta serícea; cálice acastanhado; corola lútea com estrias acastanhadas no estandarte. Borda de FOD Montana em estágio inicial de regeneração.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-03-25",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3888","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Crotalaria breviflora","DC.","possibly_ok","Fabaceae","Crotalaria breviflora","DC.","species","name accepted","bfo-29558",,,"Crotalaria breviflora DC.","Crotalaria","Fabaceae","low","Crotalaria breviflora"
"Cybianthus cuneifolius","speciesLink","EFC021836","EFC","21836","Cybianthus cuneifolius","Plantae","Primulaceae","Cybianthus","2022","01","17","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Engels, M.E.; Dall Agnol, R.T.","2022","01","17","-23.765889","-46.509629","400","cuneifolius","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.509629","-23.765889","2024-12-06T20:09:59","Mart.","3906","786","786","<nO>Arbusto ca. 2 m alt.; ramos terminais ferrugíneo-tomentosos; pecíolo canaliculado; face abaxial com pontoações nigrescentes; frutos imaturos esverdeados. Interior de FOD Montana em estágio avançado de regeneração.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-01-17",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3906","2022","Engels, M.E.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol","Agnol, R.T.D.","brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Cybianthus cuneifolius","Mart.","possibly_ok","Primulaceae","Cybianthus cuneifolius","Mart.","species","name accepted","bfo-31455",,,"Cybianthus cuneifolius Mart.","Cybianthus","Primulaceae","low","Cybianthus cuneifolius"
"Dichorisandra pubescens","speciesLink","EFC021811","EFC","21811","Dichorisandra pubescens","Plantae","Commelinaceae","Dichorisandra","2022","01","15","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","03","25","-23.758654","-46.510983","400","pubescens","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.510983","-23.758654","2024-12-06T20:08:50","Mart. ex Schult. f.","3881","809","809","<nO>Erva apoiante ca. 1 m alt., folhas uniformemente pilosas em ambas as faces, face adaxial com estrias alvacentas; sépalas verde-claro; pétalas lilás-alvacentas; anteras lilases; frutos magenta. Interior de FOD Montana em estágio intermed</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-03-25",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3881","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Dichorisandra pubescens","Mart. ex Schult. f.","possibly_ok","Commelinaceae","Dichorisandra pubescens","Mart. ex Schult. f.","species","name accepted","bfo-6937",,,"Dichorisandra pubescens Mart. ex Schult. f.","Dichorisandra","Commelinaceae","low","Dichorisandra pubescens"
"Echinodorus grandiflorus","speciesLink","EFC021841","EFC","21841","Echinodorus grandiflorus","Plantae","Alismataceae","Echinodorus","2022","01","17","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","01","17","-23.761355","-46.510907","400","grandiflorus","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.510907","-23.761355","2024-12-06T20:08:17","(Cham. & Schltr.) Micheli","3913","751","751","<nO>Erva palustre ca. 1,7 m alt., cálice esverdeado, corola alva; estames e ovário amarelados. Transição Formação Pioneira Fluviolacustre x FOD Montana.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-01-17",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3913","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Echinodorus grandiflorus","(Cham. & Schltr.) Micheli","possibly_ok","Alismataceae","Echinodorus grandiflorus","(Cham. & Schltr.) Micheli","species","name accepted","bfo-4261",,,"Echinodorus grandiflorus (Cham. & Schltr.) Micheli","Echinodorus","Alismataceae","low","Echinodorus grandiflorus"
"Gleichenella pectinata","speciesLink","EFC021839","EFC","21839","Gleichenella pectinata","Plantae","Gleicheniaceae","Gleichenella","2022","01","17","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","01","17","-23.760103","-46.509966","400","pectinata","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.509966","-23.760103","2024-12-06T20:09:10","(Willd.) Ching","3910","774","774","<nO>Terrícola ca. 1,5 m alt., soros amarelados. Formando denso agrupamento em clareira em FOD Montana em estágio intermediário de regeneração.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-01-17",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3910","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Gleichenella pectinata","(Willd.) Ching","possibly_ok","Gleicheniaceae","Gleichenella pectinata","(Willd.) Ching","species","name accepted","bfo-91164",,,"Gleichenella pectinata (Willd.) Ching","Gleichenella","Gleicheniaceae","low","Gleichenella pectinata"
"Leandra debilis","speciesLink","EFC021838","EFC","21838","Leandra debilis","Plantae","Melastomataceae","Leandra","2022","01","17","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","03","25","-23.765889","-46.509629","400","debilis","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.509629","-23.765889","2024-12-06T20:09:25","(Naudin) Cogn.","3909","786","786","<nO>Arbusto ca. 1,5 m alt.; hipanto verde-claro; corola, estames e estilete alvos. Interior de FOD Montana em estágio avançado de regeneração.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-03-25",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3909","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Leandra debilis","(Naudin) Cogn.","possibly_ok","Melastomataceae","Leandra debilis","(Naudin) Cogn.","species","name accepted","bfo-9526",,,"Leandra debilis (Naudin) Cogn.","Leandra","Melastomataceae","low","Leandra debilis"
"Leptostelma maximum","speciesLink","EFC021814","EFC","21814","Leptostelma maximum","Plantae","Asteraceae","Leptostelma","2022","01","15","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","01","15","-23.759786","-46.511006","400","maximum","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.511006","-23.759786","2024-12-06T20:08:35","D.Don","3884","766","766","<nO>Erva ereta ca. 1,5 m alt.; invólucro esverdeado; flores liguliformes alvas; flores tubulares amareladas. Borda úmida de FOD Montana em estágio intermediário de regeneração.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-01-15",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3884","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Leptostelma maximum","D.Don","possibly_ok","Asteraceae","Leptostelma maximum","D.Don","species","name accepted","bfo-5342",,,"Leptostelma maximum D.Don","Leptostelma","Asteraceae","low","Leptostelma maximum"
"Lindsaea botrychioides","speciesLink","EFC021820","EFC","21820","Lindsaea botrychioides","Plantae","Lindsaeaceae","Lindsaea","2022","01","15","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","03","25","-23.757147","-46.510878","400","botrychioides","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.510878","-23.757147","2024-12-06T20:09:19","A.St.-Hil.","3890","799","799","<nO>Terrícola ca. 50 cm alt., soros castanho-alaranjados. Interior de FOD Montana em estágio inicial de regeneração.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-03-25",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3890","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lindsaea botrychioides","A.St.-Hil.","possibly_ok","Lindsaeaceae","Lindsaea botrychioides","A.St.-Hil.","species","name accepted","bfo-91289",,,"Lindsaea botrychioides A.St.-Hil.","Lindsaea","Lindsaeaceae","low","Lindsaea botrychioides"
"Lindsaea virescens var. virescens","speciesLink","EFC021812","EFC","21812","Lindsaea virescens var. virescens","Plantae","Lindsaeaceae","Lindsaea","2022","01","15","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Mazziero, F.F.F.","2022","03","25","-23.758654","-46.510983","400","virescens","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.510983","-23.758654","2024-12-06T20:09:19","Sw.","3882","809","809","<nO>Terrícola ca. 40 cm alt., soros castanho-alaranjados. Interior de FOD Montana em estágio intermediário de regeneração.</nO>",,,,,,,"var. virescens",,,,,,,,,"SPLINK","São Bernardo do Campo","2022-03-25",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3882","2022","Mazziero, F.F.F.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Lindsaea virescens var. virescens","Sw.","variety","Lindsaeaceae","Lindsaea virescens var. virescens","Sw.","variety","name accepted","bfo-91338",,,"Lindsaea virescens var. virescens Sw.","Lindsaea","Lindsaeaceae","low","Lindsaea virescens"
"Malanea forsteronioides","speciesLink","EFC021821","EFC","21821","Malanea forsteronioides","Plantae","Rubiaceae","Malanea","2022","01","15","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","01","15","-23.757147","-46.510878","400","forsteronioides","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.510878","-23.757147","2024-12-06T20:10:05","Müll.Arg.","3891","799","799","<nO>Liana ca. 5 m alt., frutos imaturos rubrescentes. FOD Montana em estágio inicial de regeneração.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-01-15",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3891","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Malanea forsteronioides","Müll.Arg.","possibly_ok","Rubiaceae","Malanea forsteronioides","Müll.Arg.","species","name accepted","bfo-14090",,,"Malanea forsteronioides Müll.Arg.","Malanea","Rubiaceae","low","Malanea forsteronioides"
"Mazus pumilus","speciesLink","EFC021795","EFC","21795","Mazus pumilus","Plantae","Mazaceae","Mazus","2022","01","14","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","01","14","-23.756818","-46.509781","400","pumilus","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.509781","-23.756818","2024-12-06T20:09:24","(Burm.f.) Steenis","3864","753","753","<nO>Erva palustre, ascendente, ca. 8 cm alt.; cálice verde; corola alvacenta com máculas lúteas. Ruderal em beira de estrada.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-01-14",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3864","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Mazus pumilus","(Burm.f.) Steenis","possibly_ok","Mazaceae","Mazus pumilus","(Burm.f.) Steenis","species","name accepted","bfo-135717",,,"Mazus pumilus (Burm.f.) Steenis","Mazus","Mazaceae","low","Mazus pumilus"
"Miconia brunnea","speciesLink","EFC021834","EFC","21834","Miconia brunnea","Plantae","Melastomataceae","Miconia","2022","01","17","Brasil","São Paulo","São Bernardo do Campo","Parque Estadual Águas da Billings.","UFPR","PreservedSpecimen","Dall Agnol, R.T.","2022","03","25","-23.765889","-46.509629","400","brunnea","Dall Agnol, R.T.; Engels, M.E.; Mazziero, F.F.F.","-46.509629","-23.765889","2024-12-06T20:09:27","DC.","3904","786","786","<nO>Arbusto ca. 2 m alt.; ramos, pecíolos, nervuras e pedúnculos ferrugíneos; frutos imaturos ferrugíneo-nigrescentes. Clareira em FOD Montana em estágio avançado de regeneração.</nO>",,,,,,,,,,,,,,,,"SPLINK","São Bernardo do Campo","2022-03-25",,,,,,,,,,,,,,,,,,"EFC",,"Agnol, R.T.D.","3904","2022","Agnol, R.T.D.","2022","Engels, M.E.; Mazziero, F.F.F.","Agnol",,"brazil","sao paulo","sao bernardo do campo","parque estadual aguas da billings",,"locality","brazil_sao paulo_sao bernardo campo","brazil_sao paulo_sao bernardo campo",-23.81292109,-46.55040438,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Miconia brunnea","DC.","possibly_ok","Melastomataceae","Miconia brunnea","DC.","species","name accepted","bfo-9676",,,"Miconia brunnea DC.","Miconia","Melastomataceae","low","Miconia brunnea"
