"data_source","collectionCode","catalogNumber","scientificName","kingdom","family","genus","year","month","day","country","stateProvince","county","locality","coordinatePrecision","institutionCode","phylum","basisOfRecord","collectionID","specificEpithet","recordedBy","decimalLongitude","decimalLatitude","modified","scientificNameAuthorship","identifiedBy","continentocean","class","order","verbatimLatitude","verbatimLongitude","occurrenceRemarks","yearIdentified","recordNumber","barcode","monthIdentified","dayIdentified","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationtype","typeStatus","individualcount","relatedcatalogitem","downloadedFrom","municipality","dateIdentified","acceptedScientificName","bibliographicCitation","countryCode","datasetID","datasetName","eventDate","fieldNotes","habitat","identificationRemarks","latitude","longitude","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","gbifID","institutionID","informationWithheld","dataGeneralizations","occurrenceID","recordedByID","caste","vitality","georeferenceVerificationStatus","occurrenceStatus","materialEntityID","materialEntityRemarks","verbatimLabel","eventType","samplingProtocol","eventRemarks","locationID","locationRemarks","coordinateUncertaintyInMeters","pointRadiusSpatialFit","verbatimCoordinateSystem","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","identificationID","verbatimIdentification","identifiedByID","taxonID","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","superfamily","subfamily","tribe","subtribe","genericName","subgenus","infragenericEpithet","cultivarEpithet","verbatimTaxonRank","taxonRemarks","datasetKey","distanceFromCentroidInMeters","mediaType","hasCoordinate","hasGeospatialIssues","species","verbatimScientificName","projectId","isSequenced","gbifRegion","publishedByGbifRegion","iucnRedListCategory","associatedMedia","minimumDepthInMeters","maximumDepthInMeters","geodeticDatum","verbatimCoordinates","imageCollectionCode","virtualDuplicates","duplicates","DeterminationQualifier","recordedByExtra","dateCollected","dateCollectedMax","verbatimElevationMax","measurementUnit","verbatimLatitudeMax","verbatimLongitudeMax","updatedBy","dateUpdated","right","modified_incomplete","Clado","loc.correct.mun","NAME_0","NAME_1","NAME_2","NAME_3","loc.check","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","tax.check","species.new"
"user","RB","RB01448521","Adiantum abscissum Schrad.","Plantae","Pteridaceae","Adiantum","2018","7","31","Brasil","São Paulo",,"Estrada para o Parque Estadual de Ilhabela.",,"JBRJ",,"Preserved Specimen",,"abscissum","B.K. Canestraro; M.C.K. Canestraro; I.F. Canestraro","-45.3611111","-23.8433333",,"Schrad.","B.K. Canestraro",,,,"23º50´36´´","45º21´40´´W",,,"1296",,,,,,,,,,,,,"Ilhabela",,,,"BR",,,"2018-07-31","Interior de floresta e margem da estrada.",,,,,,"sp.","Physical Object",,,,"RB",,"Canestraro, B.K.","1296","2018","Canestraro, B.K.","n.d.","Canestraro, M.C.K.; Canestraro, I.F.","Canestraro",,"brazil","sao paulo","ilhabela","estrada para o parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,"urn:catalog:JBRJ:RB:1448521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/44/85/21/01448521.jpg|jbrj-public-img.s3-sa-east-1.amazonaws.com/JPG/rb/1/44/85/21/01448521-1.jpg",,,,,,,,,,,,,,,,,,,"2021-11-09 16:37:02+00","Samambaias e Licófitas","brazil_sao paulo_ilhabela","Brazil","São Paulo","Ilhabela",,"check_local.2municip.","Adiantum abscissum","Schrad.","name_w_authors","Pteridaceae","Adiantum abscissum","Schrad.","species","name accepted","bfo-91806",,,"Adiantum abscissum Schrad.","Adiantum","Pteridaceae","low","Adiantum abscissum"
"speciesLink","SP","351674","Allophylus petiolulatus","Plantae","Sapindaceae","Allophylus","2000","03","16","Brasil","São Paulo","Ilhabela","Parque Estadual de Ilhabela, Estrada para Castelhanos, trevo da serra.","23719","IBt",,"PreservedSpecimen","1","petiolulatus","Rocha, FT; Aguiar, OT","-45.349998","-23.77","2021-12-09T11:19:20","Radlk.","Pastore, JA",,,,"0","0",,"2001","107","SP045840","07","05",,,,,,,,,"SPLINK","Ilhabela","2001-07-05",,,,,,,,,,,,,,,,,,"SP",,"Rocha, F.T.","107","2000","Pastore, J.A.","2001","Aguiar, O.T.","Rocha",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela, estrada para castelhanos",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Allophylus petiolulatus","Radlk.","possibly_ok","Sapindaceae","Allophylus petiolulatus","Radlk.","species","name accepted","bfo-20875",,,"Allophylus petiolulatus Radlk.","Allophylus","Sapindaceae","low","Allophylus petiolulatus"
"speciesLink","UEC","58722","Asplenium kunzeanum","Plantae","Aspleniaceae","Asplenium","1991","12","04","Brazil","São Paulo","Ilhabela","Parque Estadual de Ilhabela","23719","UNICAMP","Pteridophyta","S","2","kunzeanum","Salino, A","-45.349998","-23.77","2024-11-25T11:37:10","Klotzsch ex Rosenst.","Sylvestre, L",,,,"0","0","<nO>Em barranco, a margem da estrada que leva à Baia de Castelhanos. Em mata pluvial atlântica.</nO>","2000","1212","UEC060674",,,,,,,,,,,"SPLINK","Ilhabela","2000-NA-NA",,,,,,,,,,,,,,,,,,"UEC",,"Salino, A.","1212","1991","Sylvestre, L.","2000",,"Salino",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Asplenium kunzeanum","Klotzsch ex Rosenst.","possibly_ok","Aspleniaceae","Asplenium kunzeanum","Klotzsch ex Rosenst.","species","name accepted","bfo-90723",,,"Asplenium kunzeanum Klotzsch ex Rosenst.","Asplenium","Aspleniaceae","low","Asplenium kunzeanum"
"speciesLink","UEC","58813","Asplenium mucronatum","Plantae","Aspleniaceae","Asplenium","1991","12","04","Brazil","São Paulo","Ilhabela","Parque Estadual de Ilhabela","23719","UNICAMP","Pteridophyta","S","2","mucronatum","Salino, A","-45.349998","-23.77","2024-11-25T11:37:10","C.Presl","Salino, A",,,,"0","0","<nO>Epífita em tronco de árvore e caule de feto arborescente (Alsophila).; Junto a estrada, em mata pluvial atlântica.</nO>","1991","1210","UEC060590",,,,,,,,,,,"SPLINK","Ilhabela","1991-NA-NA",,,,,,,,,,,,,,,,,,"UEC",,"Salino, A.","1210","1991","Salino, A.","1991",,"Salino",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Asplenium mucronatum","C.Presl","possibly_ok","Aspleniaceae","Asplenium mucronatum","C.Presl","species","name accepted","bfo-90733",,,"Asplenium mucronatum C.Presl","Asplenium","Aspleniaceae","low","Asplenium mucronatum"
"speciesLink","SP","285618","Begonia spinibarbis","Plantae","Begoniaceae","Begonia","1995","08","23","Brasil","São Paulo","Ilhabela","Parque Estadual de Ilhabela, Trilha da Toca da Goteira","23719","IBt",,"PreservedSpecimen","1","spinibarbis","Rapini, A; et al.","-45.349998","-23.77","2021-12-09T11:01:59","Irmsch.","Gomes da Silva, SJ",,,,"0","0","<nO>Erva, 30cm. Folhas com nervuras vermelhas na face abaxial. Frutos secos</nO>","1997","42",,"01",,,,,,,,,,"SPLINK","Ilhabela","1997-01-NA",,,,,,,,,,,,,,,,,,"SP",,"Rapini, A.","42","1995","Silva, S.J.G.","1997",,"Rapini",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Begonia spinibarbis","Irmsch.","possibly_ok","Begoniaceae","Begonia spinibarbis","Irmsch.","species","name accepted","bfo-5723",,,"Begonia spinibarbis Irmsch.","Begonia","Begoniaceae","low","Begonia spinibarbis"
"speciesLink","SP","397363","Boehmeria caudata","Plantae","Urticaceae","Boehmeria","1998","12","15","Brasil","São Paulo","Ilhabela","Parque Estadual de Ilhabela, Cachoeira dos Três Tombos, região do primeiro tombo","23719","IBt",,"PreservedSpecimen","1","caudata","Pastore, JA; et al.","-45.349998","-23.77","2021-12-09T11:20:18","Sw.","Pastore, JA",,,,"0","0",,"1999","837",,"02","22",,,,,,,,,"SPLINK","Ilhabela","1999-02-22",,,,,,,,,,,,,,,,,,"SP",,"Pastore, J.A.","837","1998","Pastore, J.A.","1999",,"Pastore",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Boehmeria caudata","Sw.","possibly_ok","Urticaceae","Boehmeria caudata","Sw.","species","name accepted","bfo-15035",,,"Boehmeria caudata Sw.","Boehmeria","Urticaceae","low","Boehmeria caudata"
"speciesLink","UEC","81940","Boraginaceae","Plantae","Boraginaceae",,"1995","08","23","Brazil","São Paulo","Ilhabela","Ilhabela, Parque Estadual de Ilhabela. Trilha da Toca da Goteira.","23719","UNICAMP","Magnoliopsida","S","2",,"Proença, SL; Rapini, A; Kirizawa, M; Ferreira, C","-45.349998","-23.77","2025-04-07T10:51:15",,,,,,"0","0","<nO>ORI, Mata Atlântica, epífita sobre árvore a 7m do chão. Folhas verdes com bainha esbranquiçada na inserção muito branca, depois ficando creme escuro. Folhas com ápice agudo (castanho escuro) formando uma pequena garra.; Árvore 4,0 alt.</nO>",,"83","UEC078761",,,,,,,,,,,"SPLINK","Ilhabela",,,,,,,,,,,,,,,,,,,"UEC",,"Proenca, S.L.","83","1995","s.n.","n.d.","Rapini, A.; Kirizawa, M.; Ferreira, C.","Proenca",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Boraginaceae","Juss.","family_as_genus","Boraginaceae","Boraginaceae","Juss.","family","name accepted","bfo-64",,,"Boraginaceae Juss.",,"Boraginaceae","unknown",
"speciesLink","SP","351669","Caryodendron janeirense","Plantae","Euphorbiaceae","Caryodendron","2000","11","28","Brasil","São Paulo","Ilhabela","Parque Estadual de Ilhabela, Trilha da Água Branca, na mata.","23719","IBt",,"PreservedSpecimen","1","janeirense","Rocha, FT; Aguiar, OT","-45.349998","-23.77","2021-12-09T11:04:59","Müll.Arg.","Cordeiro, I",,,,"0","0","<nO>Árvore com 9,5m de altura e 15,5cm ao nível do DAP, tronco marmorizado, frutos imaturos verdes.</nO>","2001","108","SP0351669","07","17",,,,,,,,,"SPLINK","Ilhabela","2001-07-17",,,,,,,,,,,,,,,,,,"SP",,"Rocha, F.T.","108","2000","Cordeiro, I.","2001","Aguiar, O.T.","Rocha",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Caryodendron grandifolium","(Müll.Arg.) Pax","possibly_ok","Euphorbiaceae","Caryodendron grandifolium","(Müll.Arg.) Pax","species","replaced synonym","bfo-54324","Caryodendron grandifolium","(Müll.Arg.) Pax","Caryodendron grandifolium (Müll.Arg.) Pax","Caryodendron","Euphorbiaceae","high","Caryodendron grandifolium"
"speciesLink","SP","333088","Celastraceae","Plantae","Celastraceae",,"1995","08","23","Brasil","São Paulo","Ilhabela","Parque Estadual de Ilhabela","23719","IBt",,"PreservedSpecimen","1",,"Proença, SL; et al.","-45.349998","-23.77","2022-10-14T09:36:05",,,,,,"0","0",,,"90",,,,,,,,,,,,"SPLINK","Ilhabela",,,,,,,,,,,,,,,,,,,"SP",,"Proenca, S.L.","90","1995","s.n.","n.d.",,"Proenca",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Celastraceae","R.Br.","family_as_genus","Celastraceae","Celastraceae","R.Br.","family","name accepted","bfo-82",,,"Celastraceae R.Br.",,"Celastraceae","unknown",
"speciesLink","SP","285610","Cyrtocymura scorpioides","Plantae","Asteraceae","Cyrtocymura","1995","08","23","Brasil","São Paulo","Ilhabela","Parque Estadual de Ilhabela, Trilha da Água Branca","23719","IBt",,"PreservedSpecimen","1","scorpioides","Rapini, A; Proença, SL; Kirizawa, M","-45.349998","-23.77","2021-12-09T11:00:46","(Lam.) H.Rob.","Simão Bianchini, R",,,,"0","0",,"2016","47",,"05","12",,,,,,,,,"SPLINK","Ilhabela","2016-05-12",,,,,,,,,,,,,,,,,,"SP",,"Rapini, A.","47","1995","Bianchini, R.S.","2016","Proenca, S.L.; Kirizawa, M.","Rapini",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Cyrtocymura scorpioides","(Lam.) H.Rob.","possibly_ok","Asteraceae","Cyrtocymura scorpioides","(Lam.) H.Rob.","species","name accepted","bfo-27011",,,"Cyrtocymura scorpioides (Lam.) H.Rob.","Cyrtocymura","Asteraceae","low","Cyrtocymura scorpioides"
"speciesLink","SP","288304","Davilla rugosa","Plantae","Dilleniaceae","Davilla","1995","08","23","Brasil","São Paulo","Ilhabela","Parque Estadual de Ilhabela, Trilha da Água Branca","23719","IBt",,"PreservedSpecimen","1","rugosa","Kirizawa, M; Rapini, A; Proença, SL","-45.349998","-23.77","2021-12-09T11:04:26","Poir.","Bruniera, CP",,,,"0","0",,"2010","3208",,,,,,,,,,,,"SPLINK","Ilhabela","2010-NA-NA",,,,,,,,,,,,,,,,,,"SP",,"Kirizawa, M.","3208","1995","Bruniera, C.P.","2010","Rapini, A.; Proenca, S.L.","Kirizawa",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Davilla rugosa","Poir.","possibly_ok","Dilleniaceae","Davilla rugosa","Poir.","species","name accepted","bfo-7353",,,"Davilla rugosa Poir.","Davilla","Dilleniaceae","low","Davilla rugosa"
"speciesLink","SP","288308","Dendropanax monogynus","Plantae","Araliaceae","Dendropanax","1995","08","23","Brasil","São Paulo","Ilhabela","Parque Estadual de Ilhabela, Trilha Toca da Goteira","23719","IBt",,"PreservedSpecimen","1","monogynus","Kirizawa, M; Rapini, A; Proença, SL","-45.349998","-23.77","2021-12-09T10:59:51","Decne. & Planch.","Fiaschi, P",,,,"0","0",,"2002","3197","SP010728","12",,,,,,,,,,"SPLINK","Ilhabela","2002-12-NA",,,,,,,,,,,,,,,,,,"SP",,"Kirizawa, M.","3197","1995","Fiaschi, P.","2002","Rapini, A.; Proenca, S.L.","Kirizawa",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Dendropanax cuneatus","(DC.) Decne. & Planch.","possibly_ok","Araliaceae","Dendropanax cuneatus","(DC.) Decne. & Planch.","species","name misspelled|replaced synonym","bfo-5105","Dendropanax cuneatus","(DC.) Decne. & Planch.","Dendropanax cuneatus (DC.) Decne. & Planch.","Dendropanax","Araliaceae","high","Dendropanax cuneatus"
"speciesLink","UEC","81044","Dendropanax monogynus","Plantae","Araliaceae","Dendropanax","1995","08","23","Brazil","São Paulo","Ilhabela","Parque Estadual de Ilhabela, Mata atlântica. Trilha Toca da Goteira.","23719","UNICAMP","Magnoliopsida","S","2","monogynus","Kirizawa, M; Rapini, A; Proença, SL","-45.349998","-23.77","2025-04-07T10:47:49","(Vell.) Seem.","Fiaschi, P",,,,"0","0","<nO>Árvore, 5m alt. Frutos ovais a obovados verde- claros.</nO>","2011","3197","UEC109219","11",,,,,,,,,,"SPLINK","Ilhabela","2011-11-NA",,,,,,,,,,,,,,,,,,"UEC",,"Kirizawa, M.","3197","1995","Fiaschi, P.","2011","Rapini, A.; Proenca, S.L.","Kirizawa",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela, mata atlantica",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Dendropanax monogynus","(Vell.) Seem.","possibly_ok","Araliaceae","Dendropanax monogynus","(Vell.) Seem.","species","name accepted","bfo-5110",,,"Dendropanax monogynus (Vell.) Seem.","Dendropanax","Araliaceae","high","Dendropanax monogynus"
"speciesLink","UEC","58812","Diplazium ambiguum","Plantae","Dryopteridaceae","Diplazium","1991","12","04","Brazil","São Paulo","Ilhabela","Parque Estadual de Ilhabela","23719","UNICAMP","Pteridophyta","S","2","ambiguum","Salino, A","-45.349998","-23.77","2024-11-25T11:37:16","Raddi","Cislinski, J",,,,"0","0","<nO>Terrestre.; Junto a estrada em mata pluvial atlântica.</nO>","1994","1209","UEC076463","03","28",,,,,,,,,"SPLINK","Ilhabela","1994-03-28",,,,,,,,,,,,,,,,,,"UEC",,"Salino, A.","1209","1991","Cislinski, J.","1994",,"Salino",,"brazil","sao paulo","ilhabela","parque estadual de ilhabela",,"locality","brazil_sao paulo_ilhabela","brazil_sao paulo_ilhabela",-23.85166951,-45.32677547,"county",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"check_local.2municip.","Diplazium ambiguum","Raddi","possibly_ok","Athyriaceae","Diplazium ambiguum","Raddi","species","name accepted","bfo-92311",,,"Diplazium ambiguum Raddi","Diplazium","Athyriaceae","low","Diplazium ambiguum"
