"type","bibliographicCitation","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","verbatimLatitude","verbatimLongitude","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","scientificNameAuthorship","taxonomicStatus","latitude","longitude","acceptedScientificName","dayIdentified","monthIdentified","yearIdentified","verbatimScientificName","species","taxonID","geodeticDatum","associatedMedia","virtualDuplicates","duplicates","barcode","downloadedFrom","collectionCode.new","collectionObs","recordedBy.new","recordNumber.new","year.new","identifiedBy.new","yearIdentified.new","recordedBy.aux","last.name","identifiedBy.aux","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer","scientificName.new","scientificNameAuthorship.new","scientificNameStatus","suggestedFamily","suggestedName","suggestedAuthorship","taxon.rank","tax.notes","id","accepted.tax.name","accepted.tax.authorship","scientificNameFull","genus.new","family.new","species.new","recordID","loc.correct.admin","country.correct","stateProvince.correct","municipality.correct","locality.correct","source.loc","tax.check","coord.check","decimalLatitude.new","decimalLongitude.new","origin.coord","precision.coord","loc.check","geo.check","cult.check","out.check","dist.check","dist.check.obs","numTombo","dup.ID","dup.numb","dup.prop","ref.spec.tax","ref.spec.geo","ref.spec.loc","confidenceLocality","selectionCategory","Nome_UC"
,,"https://specieslink.net/col/64",,"IAC","IAC",,"PRESERVED_SPECIMEN","57478","1438","M.R. Pereira-Noronha; et al.",,"1995-08-07","1995","8","7",,,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina",,,"-20.8961","-51.3794",,,,,"R.B. Torres","2019-07-31",,"Maytenus Molina","Celastraceae","Maytenus","genus",,"ACCEPTED",,,"Maytenus Molina",,,,"Maytenus",,,"WGS84",,,,,"GBIF","IAC",,"Pereira-Noronha, M.R.","1438","1995","Torres, R.B.","2019",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"country","brazil","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Maytenus","Molina","indet","Celastraceae","Maytenus","Molina","genus","name accepted","bfo-6746",,,"Maytenus Molina","Maytenus","Celastraceae",,1581615,"brazil","Brazil",,,,"gadm","medium",TRUE,-20.783333,-51.566667,"coord_original","minutes","check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match","IAC_57478","IAC_57478|SPF_120378","1","0.25","SPF_120378","SPF_120378","SPF_120378","High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
,"Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4271141",,,"SPF","SPF",,"PRESERVED_SPECIMEN","SPF00110347","MSP1059","Pereira-Noronha, MR",,"1995-04-11","1995","4","11","11/04/95",,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina, Estação Experimental de Zootecnia de Andradina.",,,"-20.47","-51.34",,,,,"Administrador","2022-11-29",,"Senegalia Raf.","Fabaceae","Senegalia","genus","(Hassl.) Seigler & Ebinger","ACCEPTED",,,"Senegalia Raf.",,,,"senegalia fiebrigii (hassl.) seigler & ebinger",,,,"jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/spf/spf/0/11/3/47/spf00110347.dzi",,,,"GBIF","SPF",,"Pereira-Noronha, M.R.","MSP1059","1995","Administrador","2022",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Senegalia","Raf.","name_w_authors","Fabaceae","Senegalia","Raf.","genus","name accepted","bfo-100997",,,"Senegalia Raf.","Senegalia","Fabaceae",,1593088,"brazil_sao paulo_andradina","Brazil","São Paulo","Andradina",,"ibge","low",TRUE,-20.47,-51.34,"coord_original","miliseconds","check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match","SPF_110347",,"0","0",,,,"High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN","120378","1438","Pereira-Noronha, MR",,"1995-08-07","1995","8","7",,,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina",,,"-20.783333","-51.566667",,,,,,,,"Maytenus Molina","Celastraceae","Maytenus","genus",,"ACCEPTED",,,"Maytenus Molina",,,,"Maytenus",,,"WGS84","https://images.cria.org.br/viewer/SPF00120378",,,,"GBIF","SPF","code not found","Pereira-Noronha, M.R.","1438","1995",,,,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Maytenus","Molina","indet","Celastraceae","Maytenus","Molina","genus","name accepted","bfo-6746",,,"Maytenus Molina","Maytenus","Celastraceae",,1569018,"brazil_sao paulo_andradina","Brazil","São Paulo","Andradina",,"ibge","unknown",TRUE,-20.783333,-51.566667,"coord_original","minutes","check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match","SPF_120378","IAC_57478|SPF_120378","1","0.25","SPF_120378","SPF_120378","SPF_120378","High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN","110320","MSP1040","Pereira-Noronha, MR",,"1995-04-11","1995","4","11",,,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina",,,"-20.783333","-51.566667",,,,,,,,"Guettarda L.","Rubiaceae","Guettarda","genus",,"ACCEPTED",,,"Guettarda L.",,,,"Guettarda",,,,"https://images.cria.org.br/viewer/SPF00110320",,,,"GBIF","SPF","code not found","Pereira-Noronha, M.R.","MSP1040","1995",,,,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Guettarda","L.","name_w_authors","Rubiaceae","Guettarda","L.","genus","name accepted","bfo-14052",,,"Guettarda L.","Guettarda","Rubiaceae",,1569890,"brazil_sao paulo_andradina","Brazil","São Paulo","Andradina",,"ibge","unknown",TRUE,-20.47,-51.34,"coord_original","miliseconds","check_local.2municip.","ok_state",,FALSE,"no_cannot_check","full_name_match","SPF_110320","SPF_110320[virtual]","1","0.25","SPF_110320","SPF_110320","SPF_110320","High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN","110801","MSP1017","Pereira-Noronha, MR",,"1995-04-11","1995","4","11",,,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina, Estação Experimental de Zootecnia de Andradina.",,,"-20.783333","-51.566667",,,,,"Ribeiro, PG","2011-05-01",,"Senegalia polyphylla (DC.) Britton & Rose","Fabaceae","Senegalia","species","(DC.) Britton & Rose","ACCEPTED",,,"Senegalia polyphylla (DC.) Britton & Rose",,,,"Senegalia polyphylla","Senegalia polyphylla",,,"https://images.cria.org.br/viewer/SPF00110801",,,,"GBIF","SPF","code not found","Pereira-Noronha, M.R.","MSP1017","1995","Ribeiro, P.G.","2011",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Senegalia polyphylla","(DC.) Britton & Rose","name_w_authors","Fabaceae","Senegalia polyphylla","(DC.) Britton & Rose","species","name accepted","bfo-101015",,,"Senegalia polyphylla (DC.) Britton & Rose","Senegalia","Fabaceae","Senegalia polyphylla",226804,"brazil_sao paulo_andradina","Brazil","São Paulo","Andradina",,"ibge","high",TRUE,-20.47,-51.34,"coord_original","miliseconds","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","SPF_110801","SPF_110801[virtual]","1","0.25","SPF_110801","SPF_110801","SPF_110801","High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN","110342","MSP1049","Pereira-Noronha, MR",,"1995-04-11","1995","4","11",,,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina",,,"-20.783333","-51.566667",,,,,"Baitello, JB","1997-09-01",,"Nectandra megapotamica (Spreng.) Mez","Lauraceae","Nectandra","species","(Spreng.) Mez","ACCEPTED",,,"Nectandra megapotamica (Spreng.) Mez",,,,"Nectandra megapotamica","Nectandra megapotamica",,"WGS84",,,,,"GBIF","SPF","code not found","Pereira-Noronha, M.R.","MSP1049","1995","Baitello, J.B.","1997",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Nectandra megapotamica","(Spreng.) Mez","name_w_authors","Lauraceae","Nectandra megapotamica","(Spreng.) Mez","species","name accepted","bfo-8431",,,"Nectandra megapotamica (Spreng.) Mez","Nectandra","Lauraceae","Nectandra megapotamica",204291,"brazil_sao paulo_andradina","Brazil","São Paulo","Andradina",,"ibge","high",TRUE,-20.783333,-51.566667,"coord_original","minutes","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","SPF_110342",,"0","0",,,,"High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN","110318","MSP1035","Pereira-Noronha, MR",,"1995-04-11","1995","4","11",,,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina",,,"-20.783333","-51.566667",,,,,"Lima, RB",,,"Gouania ulmifolia Hook. & Arn.","Rhamnaceae","Gouania","species","Hook. & Arn.","ACCEPTED",,,"Gouania ulmifolia Hook. & Arn.",,,,"Gouania ulmifolia","Gouania ulmifolia",,,"https://images.cria.org.br/viewer/SPF00110318",,,,"GBIF","SPF","code not found","Pereira-Noronha, M.R.","MSP1035","1995",,,,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Gouania ulmifolia","Hook. & Arn.","name_w_authors","Rhamnaceae","Gouania ulmifolia","Hook. & Arn.","species","name accepted","bfo-32502",,,"Gouania ulmifolia Hook. & Arn.","Gouania","Rhamnaceae","Gouania ulmifolia",272850,"brazil_sao paulo_andradina","Brazil","São Paulo","Andradina",,"ibge","high",TRUE,-20.47,-51.34,"coord_original","miliseconds","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","SPF_110318","SPF_110318[virtual]","1","0.25",,"SPF_110318","SPF_110318","High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN","110341","MSP1002","Pereira-Noronha, MR",,"1995-04-11","1995","4","11",,,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina",,,"-20.783333","-51.566667",,,,,"Lombardi, JA","2014-09-01",,"Cissus erosa (L.) Rich.","Vitaceae","Cissus","species","Rich.","ACCEPTED",,,"Cissus erosa (L.) Rich.",,,,"Cissus erosa","Cissus erosa",,,"https://images.cria.org.br/viewer/SPF00110341",,,,"GBIF","SPF","code not found","Pereira-Noronha, M.R.","MSP1002","1995","Lombardi, J.A.",,,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina",,"locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Cissus erosa","Rich.","name_w_authors","Vitaceae","Cissus erosa","Rich.","species","author misspelled","bfo-15257",,,"Cissus erosa Rich.","Cissus","Vitaceae","Cissus erosa",222976,"brazil_sao paulo_andradina","Brazil","São Paulo","Andradina",,"ibge","high",TRUE,-20.783333,-51.566667,"coord_original","minutes","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","SPF_110341","SPF_110341[virtual]","1","0.25","SPF_110341","SPF_110341","SPF_110341","High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
,,"https://specieslink.net/col/7",,"USP-IB","SPF",,"PRESERVED_SPECIMEN","110328","MSP1004","Pereira-Noronha, MR",,"1995-04-11","1995","4","11",,,,"Brasil","BR","São Paulo",,"Andradina","Reserva Biológica de Andradina, Mata à margem de estrada.",,,"-20.783333","-51.566667",,,,,"Mamede, MCH","1997-01-01",,"Banisteriopsis oxyclada (A.Juss.) B.Gates","Malpighiaceae","Banisteriopsis","species","(A.Juss.) B.Gates","ACCEPTED",,,"Banisteriopsis oxyclada (A.Juss.) B.Gates",,,,"Banisteriopsis oxyclada","Banisteriopsis oxyclada",,,"https://images.cria.org.br/viewer/SPF00110328",,,,"GBIF","SPF","code not found","Pereira-Noronha, M.R.","MSP1004","1995","Mamede, M.C.H.","1997",,"Pereira-Noronha",,"brazil","sao paulo","andradina","reserva biologica de andradina, mata a margem de estrada","reserva biologica de andradina","locality","brazil_sao paulo_andradina","brazil_sao paulo_andradina",-20.83654449,-51.32941411,"county","Banisteriopsis oxyclada","(A.Juss.) B.Gates","name_w_authors","Malpighiaceae","Banisteriopsis oxyclada","(A.Juss.) B.Gates","species","name accepted","bfo-19404",,,"Banisteriopsis oxyclada (A.Juss.) B.Gates","Banisteriopsis","Malpighiaceae","Banisteriopsis oxyclada",283417,"brazil_sao paulo_andradina","Brazil","São Paulo","Andradina",,"ibge","high",TRUE,-20.47,-51.34,"coord_original","miliseconds","check_local.2municip.","ok_state",,FALSE,"ok_dist","full_name_match","SPF_110328","SPF_110328[virtual]","1","0.25","SPF_110328","SPF_110328","SPF_110328","High","plantr_exact","RESERVA BIOLÓGICA ANDRADINA"
